Secao,Pergunta,Peso da pergunta,Opcao,CapaXero,CRP Charge,CRP Tank
Contexto e oportunidades,"Se houver uma oportunidade viável para o seu posto, qual seria sua intenção?",Qualificação (não pontua),Quero entender modelos sem precisar operar,,,
Contexto e oportunidades,"Se houver uma oportunidade viável para o seu posto, qual seria sua intenção?",Qualificação (não pontua),Ainda estou avaliando,,,
Contexto e oportunidades,Em quanto tempo você gostaria de colocar uma nova operação para funcionar?,Qualificação (não pontua),Imediatamente,,,
Contexto e oportunidades,Em quanto tempo você gostaria de colocar uma nova operação para funcionar?,Qualificação (não pontua),Nos próximos 3 meses,,,
Contexto e oportunidades,Em quanto tempo você gostaria de colocar uma nova operação para funcionar?,Qualificação (não pontua),De 3 a 6 meses,,,
Contexto e oportunidades,Em quanto tempo você gostaria de colocar uma nova operação para funcionar?,Qualificação (não pontua),Nos próximos 12 meses,,,
Contexto e oportunidades,Em quanto tempo você gostaria de colocar uma nova operação para funcionar?,Qualificação (não pontua),Apenas pesquisando por enquanto,,,

,,,PONTUACAO MAXIMA POSSIVEL (soma dos maiores valores de cada pergunta)
,,,Total maximo,28,35,27
